MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338168501,2023-06-30T04:30:14,29.29426,-94.85711,0.0,301.7,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
367629590,2023-06-30T04:32:01,29.31188,-94.82427,0.0,270.4,247.0,CAPT WAYNE TAYLOR,,WDH5608,31,5,17,6,,57,A
367629590,2023-06-30T04:29:05,29.31188,-94.82427,0.0,286.0,247.0,CAPT WAYNE TAYLOR,,WDH5608,31,5,17,6,,57,A
366845050,2023-06-30T04:32:00,29.31221,-94.80257,0.0,299.9,511.0,ERIN T,,WDII,60,0,29,7,,40,A
368071410,2023-06-30T04:29:34,29.11535,-95.19208,3.4,224.7,229.0,BILLY CENAC,,WDK6121,52,12,21,11,3.0,52,A
366884150,2023-06-30T04:30:03,29.30527,-94.81891,0.0,302.3,192.0,MARTIN EXPRESS,IMO8644448,WDB3169,31,12,16,6,,57,A
366812000,2023-06-30T04:30:27,29.29491,-94.85791,0.0,360.0,511.0,BRUTUS,,WDG5253,90,5,30,7,,70,A
367690010,2023-06-30T04:29:13,29.16590,-95.12524,4.5,54.0,54.0,CAPT PRIMEAUX,,WDI3600,31,12,23,,,57,A
367666920,2023-06-30T04:32:55,29.25052,-95.00421,5.0,41.6,43.0,BILL SEYMOUR,,WDH9328,31,12,27,,,31,A
367473550,2023-06-30T04:32:25,29.30842,-94.87534,2.8,46.0,511.0,ST CHARLES,,WDF6371,31,12,23,10,,52,A
338168501,2023-06-30T04:32:16,29.29426,-94.85711,0.0,307.0,511.0,HPA FIREBOAT 3,,,90,0,,,,51,A
368145870,2023-06-30T04:31:01,29.17481,-95.10487,0.0,273.4,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
367500410,2023-06-30T04:33:11,29.03536,-95.22859,4.6,201.1,197.0,RICHARD J DEVALL,,WDF8965,31,12,17,6,,31,A
367530790,2023-06-30T04:29:31,29.28445,-94.85682,0.0,149.2,511.0,DR DARK,,WDG3896,37,,20,,,,B
367113150,2023-06-30T04:33:10,29.15891,-95.13708,6.5,237.6,238.0,CHRIS PIKE,,WDD2269,31,0,26,9,,31,A
